"Fund Category","Fund Name","AmfiCode","Plan Name","NAV Date","NAV Amount"
"Index","HDFC BSE Sensex Index Fund","119065","HDFC Index Fund -  S&P BSE Sensex Plan - Direct Plan - Growth Option","25 Nov, 2025","804.4960"
"Index","HDFC Nifty 50 Index Fund","101525","HDFC Index Fund-NIFTY 50 Plan - Growth Plan","25 Nov, 2025","245.9407"
"Index","HDFC Nifty 50 Index Fund","119063","HDFC Index Fund-NIFTY 50 Plan - Direct Plan","25 Nov, 2025","251.5532"
"Index","HDFC NIFTY50 Equal Weight Index Fund","149106","HDFC NIFTY50 Equal Weight Index Fund - Regular Plan - Growth Option","25 Nov, 2025","18.1899"
"Index","HDFC NIFTY50 Equal Weight Index Fund","149107","HDFC NIFTY50 Equal Weight Index Fund - Direct Plan -  Growth Option","25 Nov, 2025","18.5978"
"Index","HDFC NIFTY Next 50 Index Fund","149287","HDFC NIFTY Next50  Index Fund - Regular - Growth Option","25 Nov, 2025","15.7797"
"Index","HDFC NIFTY Next 50 Index Fund","149288","HDFC NIFTY Next50  Index Fund - Direct - Growth Option","25 Nov, 2025","16.0627"
"Index","HDFC NIFTY 100 Index Fund","149869","HDFC NIFTY 100  Index Fund - Regular Plan - Growth Option","25 Nov, 2025","15.3857"
"Index","HDFC NIFTY 100 Index Fund","149868","HDFC NIFTY 100  Index Fund - Direct Plan - Growth Option","25 Nov, 2025","15.6762"
"Index","HDFC NIFTY100 Equal Weight Index Fund","149871","HDFC NIFTY 100 Equal Weight Index Fund Regular Growth","25 Nov, 2025","16.6797"
"Index","HDFC NIFTY100 Equal Weight Index Fund","149870","HDFC NIFTY 100 Equal Weight Index Fund Direct Growth","25 Nov, 2025","16.9797"
"Index","HDFC Nifty G-Sec Dec 2026 Index ","150844","HDFC Nifty G-sec Dec 2026 Index Fund Regular Growth","25 Nov, 2025","12.4502"
"Index","HDFC Nifty G-Sec Dec 2026 Index ","150845","HDFC Nifty G-sec Dec 2026 Index Fund Direct Growth","25 Nov, 2025","12.5086"
"Index","HDFC Nifty G-Sec Jul 2031 Index Fund","150846","HDFC Nifty G-Sec Jul 2031 Index Fund Regular Growth","25 Nov, 2025","12.8464"
"Index","HDFC Nifty G-Sec Jul 2031 Index Fund","150847","HDFC Nifty G-Sec Jul 2031 Index Fund Direct Growth","25 Nov, 2025","12.9109"
"Index","HDFC Nifty G-Sec Sep 2032 Index Fund","151182","HDFC Nifty G-Sec Sep 2032 Index Fund - Growth Option","25 Nov, 2025","12.7336"
"Index","HDFC Nifty G-Sec Sep 2032 Index Fund","151183","HDFC Nifty G-Sec Sep 2032 Index Fund - Growth Option - Direct Plan","25 Nov, 2025","12.7993"
"Index","HDFC Nifty G-Sec Jun 2027 Index Fund","151180","HDFC Nifty G- Sec Jun 2027 Index Fund - Growth Option","25 Nov, 2025","12.4500"
"Index","HDFC Nifty G-Sec Jun 2027 Index Fund","151181","HDFC Nifty G- Sec Jun 2027 Index Fund - Growth Option - Direct Plan","25 Nov, 2025","12.5073"
"Index","HDFC Nifty SDL Oct 2026 Index Fund","151455","HDFC Nifty SDL Oct 2026 Index Fund - Growth Option","25 Nov, 2025","12.2722"
"Index","HDFC Nifty SDL Oct 2026 Index Fund","151456","HDFC Nifty SDL Oct 2026 Index Fund - Growth Option - Direct Plan","25 Nov, 2025","12.3262"
"Index","HDFC NIFTY G-Sec Apr 2029 Index Fund","151496","HDFC Nifty G-Sec Apr 2029 Index Fund - Regular","25 Nov, 2025","12.5483"
"Index","HDFC NIFTY G-Sec Apr 2029 Index Fund","151495","HDFC Nifty G-Sec Apr 2029 Index Fund - Direct","25 Nov, 2025","12.6041"
"Index","HDFC NIFTY G-Sec Jun 2036 Index Fund","151490","HDFC Nifty G- Sec Jun 2036 Index Fund","25 Nov, 2025","12.6600"
"Index","HDFC NIFTY G-Sec Jun 2036 Index Fund","151489","HDFC Nifty G- Sec Jun 2036 Index Fund- Direct","25 Nov, 2025","12.7248"
"Index","HDFC NIFTY SDL Plus G-Sec Jun 2027 40:60 Index Fund","151571","HDFC NIFTY SDL Plus G-Sec Jun 2027 40:60 Index Fund - Growth Option","25 Nov, 2025","12.2177"
"Index","HDFC NIFTY SDL Plus G-Sec Jun 2027 40:60 Index Fund","151570","HDFC NIFTY SDL Plus G-Sec Jun 2027 40:60 Index Fund - Growth Option - Direct Plan","25 Nov, 2025","12.2664"
"Index","HDFC NIFTY Midcap 150 Index Fund","151725","HDFC NIFTY Midcap 150 Index Fund - Growth Option","25 Nov, 2025","18.6022"
"Index","HDFC NIFTY Midcap 150 Index Fund","151724","HDFC NIFTY Midcap 150 Index Fund - Growth Option - Direct Plan","25 Nov, 2025","18.8860"
"Index","HDFC NIFTY Smallcap 250 Index Fund","151726","HDFC NIFTY Smallcap 250 Index Fund - Growth Option","25 Nov, 2025","17.8569"
"Index","HDFC NIFTY Smallcap 250 Index Fund","151727","HDFC NIFTY Smallcap 250 Index Fund - Growth Option - Direct Plan","25 Nov, 2025","18.1234"
"Index","HDFC BSE 500 Index Fund","151729","HDFC S&P BSE 500 Index Fund - Growth Option","25 Nov, 2025","15.7222"
"Index","HDFC BSE 500 Index Fund","151728","HDFC S&P BSE 500 Index Fund - Growth Option - Direct Plan","25 Nov, 2025","15.9645"
"Index","HDFC NIFTY200 Momentum 30 Index Fund","152429","HDFC NIFTY200 Momentum 30 Index Fund - Regular Plan","25 Nov, 2025","10.5437"
"Index","HDFC NIFTY200 Momentum 30 Index Fund","152430","HDFC NIFTY200 Momentum 30 Index Fund - Direct Plan","25 Nov, 2025","10.6343"
"Index","HDFC NIFTY Realty Index Fund","152522","HDFC NIFTY Reality Index Fund - Regular Plan","25 Nov, 2025","10.0446"
"Index","HDFC NIFTY Realty Index Fund","152521","HDFC NIFTY Reality Index Fund - Direct Plan","25 Nov, 2025","10.1267"
"Index","HDFC NIFTY100 Low Volatility 30 Index Fund","152714","HDFC NIFTY100 Low Volatility 30 Index Fund Regular Growth","25 Nov, 2025","10.7149"
"Index","HDFC NIFTY100 Low Volatility 30 Index Fund","152713","HDFC NIFTY100 Low Volatility 30 Index Fund Direct Growth","25 Nov, 2025","10.7902"
"Index","HDFC Nifty500 Multicap 50:25:25 Index Fund","152779","HDFC Nifty500 Multicap 50 25 25 Index Fund Regular Growth","25 Nov, 2025","9.9605"
"Index","HDFC Nifty500 Multicap 50:25:25 Index Fund","152778","HDFC Nifty500 Multicap 50 25 25 Index Fund Direct Growth","25 Nov, 2025","10.0215"
"Index","HDFC Nifty LargeMidcap 250 Index Fund","152890","HDFC Nifty LargeMidcap 250 Index Fund Regular Growth","25 Nov, 2025","10.1306"
"Index","HDFC Nifty LargeMidcap 250 Index Fund","152889","HDFC Nifty LargeMidcap 250 Index Fund Direct Growth","25 Nov, 2025","10.1862"
"Index","HDFC Nifty India Digital Index Fund","153096","HDFC NIFTY INDIA DIGITAL INDEX FUND Regular Growth","25 Nov, 2025","9.3580"
"Index","HDFC Nifty India Digital Index Fund","153097","HDFC NIFTY INDIA DIGITAL INDEX FUND Direct Growth","25 Nov, 2025","9.4024"
"Index","HDFC Nifty100 Quality 30 Index Fund","153265","HDFC Nifty100 Quality 30 Index Fund Regular Growth","25 Nov, 2025","11.0383"
"Index","HDFC Nifty100 Quality 30 Index Fund","153264","HDFC Nifty100 Quality 30 Index Fund Direct Growth","25 Nov, 2025","11.0790"
"Index","HDFC Nifty Top 20 Equal Weight Index Fund","153404","HDFC Nifty Top 20 Equal Weight Index Fund Regular Growth","25 Nov, 2025","10.9409"
"Index","HDFC Nifty Top 20 Equal Weight Index Fund","153405","HDFC Nifty Top 20 Equal Weight Index Fund Direct Growth","25 Nov, 2025","10.9816"
"Index","HDFC CRISIL-IBX Financial Services 3-6 Months Debt Index Fund","153518","HDFC CRISIL-IBX FINANCIAL SERVICES 3-6 MONTHS DEBT INDEX FUND ","25 Nov, 2025","10.3741"
"Index","HDFC CRISIL-IBX Financial Services 3-6 Months Debt Index Fund","153517","HDFC CRISIL-IBX FINANCIAL SERVICES 3-6 MONTHS DEBT INDEX FUND ","25 Nov, 2025","10.3846"
